"IC_1"	"IC_2"	"VC_1"	"VC_2"
49.8846005674003	51.0850809691308	142.011333371115	131.743050653083
517.76775071681	443.030960818496	394.172483010853	378.045275787107
116.540747877289	112.739489035323	82.839944466484	143.198968101177
275.225382440829	253.663850329477	253.071478699808	289.261915564377
135.462492920096	192.890219521373	467.909136876624	403.821090045319
107.939954676013	103.931716454439	134.728700890545	126.015091929036
52.8948781878469	36.9926448397154	129.266726530118	163.246823635342
209.429314451068	200.817214844169	336.821752226364	280.669977478307
75.686980171228	100.408607422085	263.995427420663	234.84630768593
125.571580738628	186.724778714754	264.905756480735	283.53395684033
146.213484421691	153.255242907392	139.280346190902	108.831215756894
66.6561473098883	81.912285002227	153.845611152042	126.015091929036
272.215104820383	265.994731942715	270.367730841162	177.566720445459
600.765405109122	543.439568240581	424.213341993204	429.596904303531
245.982685556491	296.821935975812	278.560692381803	254.894163220095
92.4585269137161	114.5010435515	145.6526496114	154.654885549271
534.969337119362	583.95532211265	687.298440353796	664.443211989461
482.074458931515	519.658582272192	395.082812070924	378.045275787107
346.181926351355	381.376552752304	366.862611208715	429.596904303531
436.060215304689	362.880230332446	353.207675307646	335.085585356754
73.1067422108453	138.282029519889	483.384730897835	423.868945579484
167.285427764816	178.797783391958	169.321205173253	180.430699807483
164.705189804434	191.128665005196	251.250820579666	223.390390237836
239.962130315598	289.775717911104	375.055572749356	349.405482166872
397.786685559011	432.461633721435	444.240581314771	504.060367716143
154.384237962903	209.624987425054	312.24286760444	269.214060030213
237.381892355215	187.605555972842	114.701461568978	123.151112567012
633.448419273971	552.247340821466	364.131624028501	375.181296425084
184.917053827432	214.028873715496	170.231534233324	197.614575979624
187.067252127751	194.65177403755	223.030619717457	226.25436959986
76.5470594913556	103.05093919635	126.535739349904	120.287133204989
146.213484421691	161.182238230189	201.182722275747	168.974782359389
124.711501418501	124.189593390473	174.783179533681	160.382844273318
79.5573371118022	71.3429579051654	199.362064155604	229.118348961883
741.388373949984	706.383360986946	430.585645413703	335.085585356754
1057.03748443681	1017.29773309217	801.089572862703	598.57168666292
95.8988441942264	80.15073048605	150.204294911757	186.15865853153
687.633416442009	749.541446633281	774.690030120636	718.858819867908
614.0966345711	682.602375018558	709.146337795506	652.987294541367
148.363682722009	165.586124520631	111.060145328693	194.750596617601
148.793722382073	127.712702422827	177.514166713894	126.015091929036
300.167682724529	303.868154040519	249.430162459523	252.030183858071
109.660113316268	110.977934519146	335.911423166292	320.765688546636
143.203206801244	132.997365971358	241.237200918882	223.390390237836
132.022175639585	132.116588713269	249.430162459523	266.350080668189
415.418311621627	377.85344371995	350.476688127432	389.501193235201
122.131263458118	169.990010811073	338.642410346506	326.493647270683
1376.12691220415	1189.93007567751	773.779701060565	793.32228328052
774.93146743496	605.093976306773	536.183816381968	412.41302813139
104.929677055566	195.532551295639	111.060145328693	94.5113189467768
70.5265042504625	110.977934519146	222.120290657386	189.022637893554
291.13684986319	286.25260887875	232.13391031817	240.574266409977
117.83086685748	147.089802100773	163.859230812826	137.47100937713
408.107637400542	386.661216300835	314.063525724582	292.125894926401
226.63090085362	240.45219145815	230.313252198027	214.798452151765
183.626934847241	177.917006133869	221.209961597314	157.518864911295
971.02955242405	1012.89384680173	751.931803618855	724.586778591955
338.441212470207	368.164893880977	364.131624028501	257.758142582118
216.309949012089	221.955869038292	241.237200918882	209.070493427718
674.302186980031	680.840820502381	564.404017244177	644.395356455296
604.635762049697	572.5052177575	780.152004481064	790.458303918497
239.962130315598	242.213745974327	329.539119745794	294.989874288424
232.651456094513	241.332968716239	145.6526496114	94.5113189467768
283.826175642105	290.656495169192	203.003380395889	220.526410875812
602.915603409441	568.101331467058	491.577692438477	598.57168666292
72.6767025507815	91.6008348412	263.995427420663	211.934472789742
203.838798870239	158.539906455923	339.552739406577	317.901709184613
202.978719550112	192.009442263285	297.6776026433	234.84630768593
128.581858359075	111.858711777235	159.307585512469	140.334988739153
220.610345612727	230.763641619177	197.541406035462	240.574266409977
562.491875363445	560.174336144262	447.881897555056	466.828636009837
296.727365444019	329.410694525085	412.379064212278	380.909255149131
129.441937679202	152.374465649304	162.038572692683	157.518864911295
367.253869694481	357.595566783916	367.772940268786	386.637213873178
153.094118982711	153.255242907392	198.451735095533	189.022637893554
110.950232296459	114.5010435515	131.08738465026	217.662431513789
87.7280906530143	92.4816120992885	88.3019188269115	114.559174480942
312.208793206316	347.907016944942	306.780893244012	323.62966790866
1552.01313317024	1484.10967987906	930.356299392821	827.690035624803
1410.10004534919	1377.53563165035	837.502735265553	758.954530936238
588.724294627336	596.286203725889	426.034000113346	406.685069407342
237.811932015279	337.337689847881	623.575406148808	615.755562835061
119.551025497735	159.420683714012	330.449448805865	274.94201875426
174.596101985901	128.593479680915	146.562978671472	146.0629474632
233.081495754577	257.186959361831	263.995427420663	306.445791736519
53.3249178479107	95.1239438735539	199.362064155604	194.750596617601
291.13684986319	295.060381459635	438.778606954344	366.589358339013
182.766855527113	176.155451617692	314.063525724582	237.710287047954
331.130538249123	310.914372105227	193.900089795177	157.518864911295
290.276770543062	289.775717911104	185.707128254536	229.118348961883
135.032453260032	153.255242907392	125.625410289833	140.334988739153
103.639558075375	143.566693068419	296.767273583228	323.62966790866
378.43490085614	354.072457751562	181.155482954179	171.838761721412
354.352679892568	362.880230332446	330.449448805865	355.133440890919
107.079875355885	124.189593390473	161.128243632612	168.974782359389
673.872147319968	668.509938889143	657.257581371445	592.843727938872
127.721779038947	148.85135661695	202.093051335818	183.294679169506
63.6458696894417	52.8466354853077	201.182722275747	146.0629474632
179.326538246603	164.705347262542	288.574312042587	249.166204496048
99.7692011348006	126.831925164739	180.245153894108	151.790906187248
350.05228329193	314.437481137581	430.585645413703	249.166204496048
285.976373942424	302.106599524342	250.340491519595	274.94201875426
110.520192636395	119.785707100031	140.190675250973	94.5113189467768
83.4276940523763	104.812493712527	119.253106869334	123.151112567012
231.361337114322	222.836646296381	235.775226558455	234.84630768593
320.379546747528	389.3035480751	271.278059901233	254.894163220095
436.920294624816	427.176970172904	380.517547109784	461.10067728579
290.706810203126	302.987376782431	329.539119745794	383.773234511154
470.893427769856	489.712155497185	537.094145442039	650.123315179343
536.689495759617	534.631795659696	680.926136933297	704.53892305779
344.031728051036	268.637063716981	261.26444024045	269.214060030213
451.971682727049	363.761007590535	356.848991547931	355.133440890919
58.0553541086124	59.8928535500154	138.37001713083	123.151112567012
678.602583580669	841.142281474481	884.839846389258	793.32228328052
184.056974507305	267.756286458892	276.740034261661	206.206514065695
689.353575082264	716.07191082592	756.483448919211	710.266881781837
187.497291787815	251.9022958133	345.925042827076	392.365172597225
